ID,Status,Title,Label,Security-Label,Url,PatchUrl
71927,closed,Fix doc of Py_CompileStringExFlags,"type-bug,docs,3.7", ,https://api.github.com/repos/python/cpython/issues/71927, 
71925,closed,odd behavior in creating list of lambda expressions,type-bug, ,https://api.github.com/repos/python/cpython/issues/71925, 
71924,closed,email.header.Header.encode() crashes with IndexError on spaces only value,"type-bug,stdlib,3.8,3.7",crash,https://api.github.com/repos/python/cpython/issues/71924, 
71922,closed,'module' object has no attribute 'SIGALRM' - singal module,"type-bug,OS-windows", ,https://api.github.com/repos/python/cpython/issues/71922, 
71912,closed,Use Py_SIZE(x) instead of x->ob_size,"type-bug,interpreter-core,stdlib", ,https://api.github.com/repos/python/cpython/issues/71912, 
71909,closed,Path.touch's keyword argument mode documented incorrectly,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/71909, 
71908,closed,distutils strtobool returns 0 and 1 rather than False and True,"type-bug,stdlib", ,https://api.github.com/repos/python/cpython/issues/71908, 
71906,closed,Misleading note about "args" attribute in "User-defined Exceptions" section of tutorial,"type-bug,docs,easy", ,https://api.github.com/repos/python/cpython/issues/71906, 
71905,closed,help('signal') incomplete (e.g: signal.signal not visible),"type-bug,docs,3.11,3.10,3.9", ,https://api.github.com/repos/python/cpython/issues/71905, 
71904,closed,sqlite documentation bug,"type-bug,docs", ,https://api.github.com/repos/python/cpython/issues/71904, 
